PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,hour,day,month,DC_POWER_CATEGORY
4135001,13,0.0,0.0,7000.0,6240543.0,21,22,5,6
4135001,8,10883.0,1061.914286,5698.571429,6706961.571,13,8,6,0
4135001,7,0.0,0.0,0.0,7276029.0,1,28,5,6
4135001,8,0.0,0.0,6355.0,6693054.0,21,6,6,6
4135001,11,2468.0,242.0285714,92.71428571,6467343.714,7,6,6,4
4135001,16,0.0,0.0,8338.0,7120903.0,20,28,5,6
4135001,10,0.0,0.0,0.0,6476944.0,2,11,6,6
4135001,5,0.0,0.0,0.0,7340314.0,1,2,6,6
4135001,3,1927.857143,188.8714286,117.0,7756738.0,7,5,6,4
4135001,11,0.0,0.0,5863.0,6499210.0,23,10,6,6
4135001,4,0.0,0.0,0.0,7308369.0,0,4,6,6
4135001,11,0.0,0.0,2936.5,6473124.0,23,6,6,6
4135001,0,0.0,0.0,5940.0,6418482.0,20,6,6,6
4135001,3,10987.5,1072.3375,4609.875,7620146.875,12,17,5,0
4135001,3,0.0,0.0,0.0,7764140.0,19,5,6,6
4135001,4,0.0,0.0,5992.0,7292752.0,20,1,6,6
4135001,7,0.0,0.0,7263.0,7406702.0,19,14,6,6
4135001,9,8254.625,807.3125,1622.5,7188312.5,9,27,5,5
4135001,4,0.0,0.0,8580.0,7346782.0,21,8,6,6
4135001,16,0.0,0.0,7307.0,7242811.0,19,14,6,6
4135001,15,7423.571429,726.8,5011.714286,7122877.714,14,16,5,1
4135001,6,5762.125,564.675,1135.875,7268714.875,9,17,6,3
4135001,16,0.0,0.0,5887.0,7261681.0,23,17,6,6
4135001,1,10525.25,1028.3125,4278.0,6302489.0,13,30,5,0
4135001,0,0.0,0.0,5268.0,6423750.0,23,7,6,6
4135001,0,0.0,0.0,5754.0,6265313.0,18,15,5,6
4135001,15,6393.571429,626.3428571,6567.857143,7337237.857,15,14,6,1
4135001,1,9240.625,903.0875,5708.5,6403935.5,13,13,6,5
4135001,9,7986.571429,781.6714286,2216.142857,7120424.143,12,18,5,1
4135001,12,10289.25,1005.8625,7037.375,7281729.375,15,28,5,0
4135001,14,0.0,0.0,0.0,7225200.0,4,23,5,6
4135001,6,0.0,0.0,6264.0,7267579.0,19,16,6,6
4135001,16,0.0,0.0,5847.0,7227101.0,22,12,6,6
4135001,17,11665.875,1137.725,6608.0,7118460.0,14,25,5,0
4135001,11,0.0,0.0,8131.0,6355038.0,20,20,5,6
4135001,10,0.0,0.0,0.0,6430581.0,2,5,6,6
4135001,7,0.0,0.0,0.0,7236121.0,0,23,5,6
4135001,21,0.0,0.0,0.0,7271273.0,3,5,6,6
4135001,19,6322.75,619.425,880.5,7015132.5,9,16,5,1
4135001,7,0.0,0.0,7958.0,7373268.0,19,9,6,6
4135001,17,0.0,0.0,6645.0,7240508.0,22,10,6,6
4135001,8,1986.571429,194.7285714,96.14285714,6612745.143,7,27,5,4
4135001,4,0.0,0.0,0.0,7373328.0,3,13,6,6
4135001,7,6639.428571,650.3142857,6013.428571,7211611.429,15,19,5,1
4135001,3,1045.625,101.6125,5806.5,7727784.5,17,31,5,2
4135001,12,7029.571429,688.4142857,1673.714286,7374893.714,10,10,6,1
4135001,6,9291.857143,908.6,6657.142857,7076382.143,15,21,5,5
4135001,20,6814.857143,667.4428571,1649.714286,6533054.714,10,10,6,1
4135001,1,7539.428571,738.0285714,982.1428571,6333641.143,9,4,6,1
4135001,21,7341.142857,718.8,5124.571429,7268177.571,13,4,6,1
4135001,1,3671.714286,360.8714286,206.8571429,6216636.857,7,20,5,3
4135001,3,11040.375,1077.625,1635.75,7653270.75,10,22,5,0
4135001,15,0.0,0.0,8821.0,7152633.0,20,20,5,6
4135001,14,4407.625,432.7125,4907.625,7263201.625,14,27,5,3
4135001,2,0.0,0.0,0.0,7136488.0,2,4,6,6
4135001,8,5153.375,505.3875,4566.875,6647949.875,13,31,5,3
4135001,14,762.1428571,73.91428571,7733.285714,7217931.286,17,21,5,2
4135001,2,0.0,0.0,0.0,7202086.0,0,13,6,6
4135001,10,0.0,0.0,0.0,6271355.0,3,15,5,6
4135001,19,8238.428571,806.2285714,2477.0,7142305.0,10,2,6,5
4135001,2,0.0,0.0,0.0,7152486.0,2,6,6,6
4135001,20,8404.25,822.45,778.75,6340158.75,9,15,5,5
4135001,0,3479.571429,342.0857143,3580.285714,6408960.286,12,5,6,4
4135001,16,6963.428571,681.8571429,2937.428571,7150945.429,11,2,6,1
4135001,12,0.0,0.0,0.0,7227442.0,0,22,5,6
4135001,2,6494.75,635.8375,1723.875,7015641.875,10,19,5,1
4135001,17,0.0,0.0,0.0,7202373.0,3,6,6,6
4135001,8,0.0,0.0,0.0,6701263.0,1,8,6,6
4135001,9,7609.125,744.9,1197.75,7302829.75,10,12,6,1
4135001,2,8670.142857,848.3,4846.285714,7018764.286,14,19,5,5
4135001,5,0.0,0.0,0.0,7409295.0,1,11,6,6
4135001,7,0.0,0.0,0.0,7299769.0,0,31,5,6
4135001,1,13169.25,1284.0125,4884.625,6345739.625,13,5,6,0
4135001,8,3374.428571,331.6714286,305.0,6693359.0,8,7,6,4
4135001,19,9212.857143,901.2,1198.857143,7050459.857,9,21,5,5
4135001,19,0.0,0.0,0.0,7080638.0,3,25,5,6
4135001,15,0.0,0.0,0.0,7136902.0,4,19,5,6
4135001,9,5825.285714,570.8571429,730.2857143,7330421.286,8,16,6,3
4135001,8,0.0,0.0,8209.0,6701263.0,20,7,6,6
4135001,16,7463.0,730.1428571,1621.428571,7083070.429,10,24,5,1
4135001,14,0.0,0.0,0.0,7281535.0,4,30,5,6
4135001,9,7236.428571,708.5857143,4746.0,7300817.0,15,11,6,1
4135001,7,6345.75,621.7,3075.0,7314591.0,11,2,6,1
4135001,20,0.0,0.0,0.0,6492579.0,2,5,6,6
4135001,5,11752.14286,1146.957143,5543.428571,7318430.429,13,29,5,0
4135001,18,8894.625,869.9,2746.625,6918090.625,11,2,6,5
4135001,21,0.0,0.0,7480.0,7136015.0,20,17,5,6
4135001,17,3500.25,343.375,4860.125,7170213.125,14,1,6,3
4135001,20,4836.125,474.5,6525.75,6513253.75,14,7,6,3
4135001,12,6761.625,662.275,1481.625,7349715.625,10,7,6,1
4135001,2,0.0,0.0,0.0,7061568.0,4,25,5,6
4135001,18,9649.714286,942.5,5690.857143,6801160.857,14,17,5,5
4135001,21,0.0,0.0,0.0,7317016.0,5,11,6,6
4135001,17,0.0,0.0,7838.0,7202373.0,20,5,6,6
4135001,12,75.71428571,7.314285714,5887.285714,7391358.286,18,12,6,2
4135001,5,0.0,0.0,8172.0,7321059.0,21,29,5,6
4135001,3,9752.571429,953.6857143,2038.428571,7617575.429,10,17,5,5
4135001,5,0.0,0.0,0.0,7212666.0,2,16,5,6
4135001,21,0.0,0.0,6419.0,7128535.0,20,16,5,6
4135001,6,5888.375,576.5875,1582.375,7191852.375,9,6,6,3
4135001,15,0.0,0.0,0.0,7273090.0,1,6,6,6
4135001,18,10490.71429,1025.485714,6996.285714,6966523.286,15,8,6,0
4135001,8,1218.285714,118.5142857,7871.0,6670839.0,17,3,6,2
4135001,20,5093.571429,499.4714286,1066.571429,6485408.571,9,4,6,3
4135001,0,9914.857143,969.1714286,3395.857143,6483193.857,12,17,6,5
4135001,9,5668.875,555.6625,578.375,7330269.375,8,16,6,3
4135001,1,5112.428571,501.3285714,1918.571429,6235165.571,10,22,5,3
4135001,8,0.0,0.0,0.0,6729902.0,4,12,6,6
4135001,7,1445.375,140.95,61.5,7318990.5,7,3,6,2
4135001,18,7605.857143,744.5571429,5766.0,6814159.0,15,19,5,1
4135001,14,0.0,0.0,0.0,7389161.0,2,14,6,6
4135001,5,9225.875,902.0,3088.25,7358749.25,11,4,6,5
4135001,7,0.0,0.0,0.0,7205598.0,1,19,5,6
4135001,21,1613.285714,157.8571429,6339.428571,7128455.429,17,16,5,4
4135001,21,0.0,0.0,0.0,7271273.0,5,5,6,6
4135001,2,2695.857143,264.4714286,209.8571429,7061777.857,7,25,5,4
4135001,1,9564.857143,935.4571429,1040.571429,6290998.571,9,29,5,5
4135001,10,10204.57143,997.2285714,7748.428571,6496470.429,15,13,6,0
4135001,8,10974.85714,1071.614286,2556.857143,6621932.857,10,28,5,0
4135001,20,0.0,0.0,0.0,6557822.0,2,14,6,6
4135001,13,0.0,0.0,0.0,6248938.0,3,24,5,6
4135001,1,11346.375,1107.3,2838.75,6401065.75,10,13,6,0
4135001,7,9122.142857,892.3571429,658.7142857,7312174.714,8,2,6,5
4135001,14,9486.125,927.775,7794.125,7249501.125,15,25,5,5
4135001,10,7958.857143,779.0142857,3301.285714,6486035.286,12,12,6,1
4135001,17,10214.5,998.3375,3453.875,7155385.875,12,30,5,0
4135001,21,0.0,0.0,0.0,7317016.0,5,11,6,6
4135001,4,0.0,0.0,6471.0,7165435.0,19,15,5,6
4135001,10,0.0,0.0,0.0,6445031.0,1,7,6,6
4135001,12,10282.875,1005.2875,1900.5,7212618.5,10,20,5,0
